time,value
2024-07-13T12:47:44.636874192Z,{"lat":10.845407369370488,"lon":106.68208537472181}
2024-07-13T12:47:45.654302055Z,{"lat":10.845407369370488,"lon":106.68208537472181}
2024-07-13T12:47:46.671915977Z,{"lat":10.845407369370488,"lon":106.68208537472181}
2024-07-13T12:47:47.671922915Z,{"lat":10.845407369370488,"lon":106.68208537472181}
2024-07-13T12:47:48.692130036Z,{"lat":10.845407369370488,"lon":106.68208537472181}
2024-07-13T12:47:49.7198955Z,{"lat":10.845431667517524,"lon":106.68207800049102}
2024-07-13T12:47:50.702025521Z,{"lat":10.845431667517524,"lon":106.68207800049102}
2024-07-13T12:47:51.707088617Z,{"lat":10.845431667517524,"lon":106.68207800049102}
2024-07-13T12:47:52.733928128Z,{"lat":10.845431667517524,"lon":106.68207800049102}
2024-07-13T12:47:53.755180893Z,{"lat":10.845431667517524,"lon":106.68207800049102}
2024-07-13T12:47:54.767340757Z,{"lat":10.845446733209414,"lon":106.68207661187422}
2024-07-13T12:47:55.773102376Z,{"lat":10.845448274494585,"lon":106.68207964923872}
2024-07-13T12:47:56.79177413Z,{"lat":10.845448274494585,"lon":106.68207964923872}
2024-07-13T12:47:57.800180357Z,{"lat":10.845448274494585,"lon":106.68207964923872}
2024-07-13T12:47:58.809349442Z,{"lat":10.845448274494585,"lon":106.68207964923872}
2024-07-13T12:47:59.829458396Z,{"lat":10.845448274494585,"lon":106.68207964923872}
2024-07-13T12:48:00.822536534Z,{"lat":10.845449200416956,"lon":106.68208114950123}
2024-07-13T12:48:01.84439359Z,{"lat":10.845448845208566,"lon":106.68208213475057}
2024-07-13T12:48:02.857486208Z,{"lat":10.845448845208566,"lon":106.68208213475057}
2024-07-13T12:48:03.87520795Z,{"lat":10.845448845208566,"lon":106.68208213475057}
2024-07-13T12:48:04.892694418Z,{"lat":10.845448845208566,"lon":106.68208213475057}
2024-07-13T12:48:05.909106221Z,{"lat":10.845448845208566,"lon":106.68208213475057}
2024-07-13T12:48:07.004157373Z,{"lat":10.845448667605165,"lon":106.68208262737508}
2024-07-13T12:48:07.924677714Z,{"lat":10.845421692399565,"lon":106.6820888528678}
2024-07-13T12:48:08.942261383Z,{"lat":10.845421692399565,"lon":106.6820888528678}
2024-07-13T12:48:09.954571713Z,{"lat":10.845421692399565,"lon":106.6820888528678}
2024-07-13T12:48:10.973557131Z,{"lat":10.845421692399565,"lon":106.6820888528678}
